Sample name,Sex,Biosample ID,Population code,Population name,Superpopulation code,Superpopulation name,Population elastic ID,Data collections,PC1,PC2,PC3,PC4,PC5
BulgarianB4,male,SAMEA3302718,"",Bulgarian,"",West Eurasia (SGDP),BulgarianSGDP,Simons Genome Diversity Project,,,,,
BulgarianC1,male,SAMEA3302842,"",Bulgarian,"",West Eurasia (SGDP),BulgarianSGDP,Simons Genome Diversity Project,,,,,
ch113,male,SAMEA3302820,"",Chechen,"",West Eurasia (SGDP),ChechenSGDP,Simons Genome Diversity Project,,,,,
CHI-007,male,SAMEA3302663,"",Thai,"",East Asia (SGDP),ThaiSGDP,Simons Genome Diversity Project,,,,,
CHI-034,female,SAMEA3302826,"",Thai,"",East Asia (SGDP),ThaiSGDP,Simons Genome Diversity Project,,,,,
DNK05,male,SAMEA3302668,"",Dinka,"",Africa (SGDP),DinkaSGDP,Simons Genome Diversity Project,,,,,
DNK07,male,SAMEA3302733,"",Dinka,"",Africa (SGDP),DinkaSGDP,Simons Genome Diversity Project,,,,,
DNK11,male,SAMEA3302792,"",Dinka,"",Africa (SGDP),DinkaSGDP,Simons Genome Diversity Project,,,,,
Dus16,female,SAMEA3302759,"",Dusun,"",Oceania (SGDP),DusunSGDP,Simons Genome Diversity Project,,,,,
Dus22,female,SAMEA3302688,"",Dusun,"",Oceania (SGDP),DusunSGDP,Simons Genome Diversity Project,,,,,
Esk29,male,SAMEA3302660,"",Eskimo Chaplin,"",Central Asia and Siberia (SGDP),EskimoChaplinSGDP,Simons Genome Diversity Project,,,,,
Est375,male,SAMEA3302735,"",Estonian,"",West Eurasia (SGDP),EstonianSGDP,Simons Genome Diversity Project,,,,,
Est400,male,SAMEA3302679,"",Estonian,"",West Eurasia (SGDP),EstonianSGDP,Simons Genome Diversity Project,,,,,
GM19129,female,"",YRI,Yoruba,AFR,African Ancestry,YRI,"Human Genome Structural Variation Consortium, Phase 3",,,,,
GM19320,female,"",LWK,Luhya,AFR,African Ancestry,LWK,"Human Genome Structural Variation Consortium, Phase 3",,,,,
GM20355,female,"",ASW,African Ancestry SW,AFR,African Ancestry,ASW,"Human Genome Structural Variation Consortium, Phase 3",,,,,
GM21487,female,"",MKK,Masai,"",Africa (SGDP),Masai,"Human Genome Structural Variation Consortium, Phase 3",,,,,
HG00096,male,SAME123268,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0119648,0.0254377,0.0079415,-0.0210734,-0.00184514
HG00097,female,SAME123267,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0122562,0.0256272,0.00785074,-0.0214233,-0.00106964
HG00098,male,SAME123272,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes phase 3 release",,,,,
HG00099,female,SAME123271,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0123227,0.0254436,0.00779781,-0.0207617,-0.000958936
HG00100,female,SAME125154,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0120538,0.0259843,0.00751506,-0.0217761,-0.00320737
HG00101,male,SAME125153,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0122382,0.0256484,0.00835984,-0.0218173,-0.00311881
HG00102,female,SAME123945,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0123512,0.0255323,0.00790186,-0.0214281,-0.00259449
HG00103,male,SAME125151,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0120121,0.0249294,0.00774357,-0.0197914,-0.000797121
HG00104,female,SAME123950,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0121483,0.02528,0.00748217,-0.0200673,0.000233404
HG00105,male,SAME123949,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0118606,0.0251135,0.00785136,-0.020957,-0.00181504
HG00106,female,SAME123948,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0124353,0.0259105,0.00716817,-0.0203936,-0.00152339
HG00107,male,SAME123947,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0126188,0.0260326,0.00867993,-0.0213018,-0.00380603
HG00108,male,SAME125161,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0121723,0.0250302,0.00788671,-0.0216451,-0.000942519
HG00109,male,SAME125160,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0124471,0.0251747,0.0083887,-0.0224496,-0.00195922
HG00110,female,SAME125339,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0123022,0.0253671,0.00817704,-0.0221661,-0.00216869
HG00111,female,SAME125340,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0124366,0.0250641,0.00750857,-0.0214557,-0.00119572
HG00112,male,SAME125341,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0123179,0.0247395,0.00749635,-0.0213505,-0.00103744
HG00113,male,SAME125342,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release",-0.0124276,0.025805,0.0085328,-0.0222569,-0.00214596
HG00114,male,SAME125343,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0120725,0.0248764,0.00772025,-0.0214694,7.84711e-05
HG00115,male,SAME125344,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0121499,0.0259193,0.00683171,-0.0214642,-0.0039987
HG00116,male,SAME125345,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0119568,0.0232801,0.00663317,-0.0198647,0.00166055
HG00117,male,SAME125346,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0123038,0.0257059,0.0088492,-0.0220583,-0.00149373
HG00118,female,SAME125347,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0124936,0.0259014,0.00740381,-0.0211226,-0.0028836
HG00119,male,SAME125348,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0123332,0.0255886,0.00847542,-0.0223707,-0.00178702
HG00120,female,SAME122874,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0123327,0.0254855,0.00819019,-0.0221136,-0.000809486
HG00121,female,SAME122873,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0124226,0.0251524,0.00767526,-0.021636,-0.0017037
HG00122,female,SAME122876,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0122686,0.0254155,0.0083951,-0.0216636,-0.00192943
HG00123,female,SAME122875,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0121503,0.0257687,0.00771715,-0.021916,1.0662e-05
HG00124,female,SAME122870,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",,,,,
HG00125,female,SAME122869,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0119403,0.0239593,0.00792651,-0.0207245,0.00181748
HG00126,male,SAME122872,GBR,"British,English",EUR,"European Ancestry,West Eurasia (SGDP)","GBR,EnglishSGDP","1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0121111,0.0262622,0.00784263,-0.0219527,-0.00227065
HG00127,female,SAME122871,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0122256,0.0253238,0.00791411,-0.0207262,-0.00144658
HG00128,female,SAME122868,GBR,"British,English",EUR,"European Ancestry,West Eurasia (SGDP)","GBR,EnglishSGDP","1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0122012,0.0254558,0.00713228,-0.0214904,-0.00131608
HG00129,male,SAME122867,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0123476,0.0255675,0.00770456,-0.0211845,-0.000352931
HG00130,female,SAME123063,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0118799,0.0250377,0.00763779,-0.0211378,-0.000203946
HG00131,male,SAME123064,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0122526,0.0251855,0.00811715,-0.0221562,-0.000426711
HG00132,female,SAME123061,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0123485,0.0262374,0.00769273,-0.0216696,-0.00379971
HG00133,female,SAME123062,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0121837,0.0258262,0.00785939,-0.0221065,-0.0025065
HG00134,female,SAME123067,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0120056,0.0259333,0.00795904,-0.0214444,-0.00263532
HG00135,female,SAME123068,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0121934,0.025406,0.00794954,-0.0212931,-0.00254957
HG00136,male,SAME123065,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0120903,0.0246101,0.00760124,-0.0212008,8.78219e-05
HG00137,female,SAME123066,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0120434,0.024394,0.0073665,-0.0213587,0.000397841
HG00138,male,SAME123059,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.012023,0.0249789,0.00777374,-0.022315,-0.00124588
HG00139,male,SAME123060,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0121054,0.0257333,0.00771251,-0.0225866,-0.00246096
HG00140,male,SAME124396,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release",-0.0124784,0.0256619,0.00769762,-0.0221008,-0.00188833
HG00141,male,SAME124395,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0124235,0.0261875,0.00763297,-0.021702,-0.00350489
HG00142,male,SAME124818,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0119392,0.0246752,0.00756758,-0.0215858,-0.00066632
HG00143,male,SAME124393,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0120075,0.0257196,0.00757663,-0.0213497,-0.00212302
HG00144,female,SAME124392,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes phase 3 release",,,,,
HG00145,male,SAME124391,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0123478,0.025475,0.00799048,-0.0217153,-0.000697154
HG00146,female,SAME124390,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.01238,0.0248962,0.00819624,-0.0215504,-0.000815774
HG00147,female,SAME124389,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes phase 3 release",,,,,
HG00148,male,SAME124388,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0122295,0.0257836,0.00788257,-0.0219498,-0.00347802
HG00149,male,SAME124387,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0119386,0.0258667,0.00831021,-0.022281,-0.00364885
HG00150,female,SAME124591,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0118195,0.0247142,0.00756423,-0.0211344,-2.77527e-05
HG00151,male,SAME124592,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0119689,0.0248086,0.00780988,-0.0208971,-0.000998267
HG00152,male,SAME124593,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0117617,0.0248047,0.00716796,-0.0214461,0.000144876
HG00153,female,SAME124594,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes phase 3 release",,,,,
HG00154,female,SAME124587,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0121393,0.0252463,0.00853662,-0.0224278,-0.000426655
HG00155,male,SAME124588,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0122448,0.0249542,0.00836598,-0.021951,-0.000647263
HG00156,male,SAME123276,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.012189,0.025938,0.00784292,-0.0219454,-0.0022906
HG00157,male,SAME124590,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0121914,0.0256647,0.00829495,-0.0229572,-0.00160917
HG00158,female,SAME124585,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0122475,0.024983,0.00838975,-0.021295,-0.000889517
HG00159,male,SAME124586,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.012223,0.0253312,0.00854802,-0.022185,-0.00115722
HG00160,male,SAME124780,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0122796,0.025211,0.00830537,-0.0213207,-0.000935642
HG00171,female,SAME124961,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0129424,0.0206421,0.00946591,-0.0199817,-0.00107649
HG00173,female,SAME124960,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0126709,0.0212335,0.00925386,-0.0203227,0.000100176
HG00174,female,SAME124958,FIN,"Finnish,Finnish",EUR,"European Ancestry,West Eurasia (SGDP)","FIN,FinnishSGDP","1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0123926,0.0222633,0.00918759,-0.020709,-0.000834978
HG00176,female,SAME124956,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0127336,0.0212609,0.00927025,-0.0205851,-0.00252159
HG00177,female,SAME124957,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0128952,0.0203761,0.0087058,-0.0198835,0.000525043
HG00178,female,SAME124964,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0128682,0.0220912,0.00915918,-0.02154,-0.00262269
HG00179,female,SAME124965,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0125631,0.0209749,0.0089113,-0.019897,-0.00139287
HG00180,female,SAME123645,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0127261,0.0207432,0.00903158,-0.0200931,0.000254362
HG00181,male,SAME123644,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0119277,0.0220776,0.00757365,-0.020681,-0.00181492
HG00182,male,SAME123643,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0126224,0.0210395,0.00913681,-0.0201495,-0.000869798
HG00183,male,SAME123642,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0126206,0.0213216,0.00916153,-0.0204951,-6.08109e-05
HG00185,male,SAME123648,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0128952,0.0210912,0.00855648,-0.0203773,2.29663e-05
HG00186,male,SAME123647,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.012633,0.0210172,0.00870309,-0.0200979,0.000240648
HG00187,male,SAME123646,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0124774,0.0200866,0.00943758,-0.0200763,-0.000305639
HG00188,male,SAME123641,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0128922,0.0223475,0.00884672,-0.0206918,-0.00185231
HG00189,male,SAME123640,FIN,Finnish,EUR,European Ancestry,FIN,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0127367,0.0215002,0.00917978,-0.0204588,-0.0010836
HG00190,male,SAME123856,FIN,"Finnish,Finnish",EUR,"European Ancestry,West Eurasia (SGDP)","FIN,FinnishSGDP","1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release",-0.0124439,0.0217165,0.00831151,-0.0203135,-0.000209589
HG00231,female,SAME124126,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0121423,0.0253481,0.00798647,-0.0214325,-0.00282108
HG00232,female,SAME124128,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0102359,0.017589,0.00411636,-0.0150609,0.00771613
HG00233,female,SAME124127,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.0118051,0.0247554,0.00732728,-0.0198876,-0.000281103
HG00234,male,SAME124123,GBR,British,EUR,European Ancestry,GBR,"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis",-0.01221,0.0252755,0.00749216,-0.0212841,-0.00152772
